动物,学名,分类,栖息地,分布,食性,行为,繁殖,保护状态,趣味事实,来源URL,语言,状态,错误信息
黑白领狐猴,Varecia variegata,属：Varecia；种：Varecia variegata,,特有于：馬達加斯加,甜果、树叶、花、种子等,白天活动，用四肢行走，通常单独外出觅食，然后回到群体中睡觉。叫声仅次于吼猴，在灵长目中排名第二。公猴和母猴外表相同。,孕期：100天,IUCN：極危,"白颈狐猴全身黑色，四肢、头部和背部有白色区域，颈部有鬃毛，口鼻部接近狗。；领狐猴可分为三个亚种：Varecia variegata variegata, Varecia variegata editorum, Varecia variegata subcincta。",https://zh.wikipedia.org/wiki/%E9%A0%98%E7%8B%90%E7%8C%B4,zh,partial,字段缺失：栖息地
獐子,Hydropotes inermis,属：Hydropotes；种：Hydropotes inermis,河流两岸的茂密芦苇丛、沼泽、湿地、草原、山地、经人类开垦的田地,原产地在中国东部（长江下游江苏、浙江、上海等地区）和朝鲜半岛；目前主要分布在中国舟山群岛、洪泽湖、洞庭湖周边等湿地；1870年代被引入英国。,,雄性领地性很强，用尿液和粪便标记领地，入侵者会引发使用獠牙刺伤对方头部、颈部或背部的争斗，直至一方认输逃跑。雌性在非繁殖季无强领地性，但在产仔前后具攻击性，驱赶靠近幼崽的其他雌獐。擅长游泳，可游数公里往返岛屿间。,发情期为每年11月到12月，雄性根据气味跟踪判断雌性是否发情，多数交配发生在雄性领地内。怀孕周期通常为170到210天，5月到7月为产子高峰期。雌獐在开阔地带分娩后将幼崽藏于植被茂密处，平均一胎产1-3头。,IUCN：易危物種,因其牙齿外观与欧式吸血鬼形象类似，在1870年代被引入英国后，被英语国家人士迷信地称作“吸血鬼鹿”（vampire deer）。；獐被认为是最原始的鹿科动物，其特色为具有獠牙且终生不长鹿角，不论雌雄均无鹿角。,https://zh.wikipedia.org/wiki/%E7%8D%90,zh,partial,字段缺失：食性
扬子鳄,Alligator sinensis,属：Alligator；种：Alligator sinensis,长江中下游地区及太湖,中国特有，主要分布在长江中下游地区及太湖；野外种群主要分布于安徽、江苏、浙江等省，其中安徽扬子鳄国家级自然保护区为野外种群主要分布地。模式标本产地为安徽芜湖。,,活动节律为昼伏夜出；性情温和，听到异响会主动逃离，通常不会伤害人类；是所有鳄鱼中唯一会冬眠的种类。,,IUCN：極危,扬子鳄是世界上体型最细小的鳄鱼之一，成年体长很少超过2.1米，一般只有1.5米长。；扬子鳄的表皮在中国古代被用作制造战鼓的敲击面和轻型盔甲的原材料。；其种加词“sinensis”意为“中华的”。,https://zh.wikipedia.org/wiki/%E6%89%AC%E5%AD%90%E9%B3%84,zh,partial,字段缺失：食性、繁殖
野猪,Sus scrofa,属：Sus；种：Sus scrofa,栖息环境跨越温带与热带，从半干旱气候至热带雨林、温带林地、草原等都有其踪迹，也经常闯入农地觅食。,原生于欧亚非大陆，后引入世界各地。曾广布于欧亚大陆及北非地区，西起西班牙与摩洛哥，东至日本，北起北欧与西伯利亚，南至印度尼西亚、印度与苏丹。在中国境内除青藏高原与戈壁沙漠外均有分布。现分布于欧洲、中亚、俄罗斯部分地区、中国、美国（入侵物种）、南美等地。,杂食性。食物来源广泛，包括草、果实、坚果、根、昆虫、鸟蛋、大家鼠、腐肉、野兔和鹿崽等。,群居，一般20只，曾有过50-100只的群体，通常由2-3只母猪与幼猪组成，公猪仅在发情期加入。性情粗暴、攻击性强，受威胁时公猪用獠牙自卫，母猪咬对方。是唯一会挖洞居住的有蹄类动物。,母猪在偏僻角落生产，一胎产8-12只幼猪。,IUCN：无危物种,野猪是唯一会挖洞居住的有蹄类动物。；家猪是8000年前由野猪驯化而成的亚种，但野猪成长速度比家猪慢且体重较轻。；在希腊神话中，战神阿瑞斯将自己变成野猪，并刺死了因太英俊而可能抢走其妻子的儿子。,https://zh.wikipedia.org/wiki/%E9%87%8E%E8%B1%AC,zh,success,
赤狐,Vulpes vulpes,属：Vulpes；种：Vulpes vulpes,森林、草原、灌叢群落、荒漠、湿地、市区,分布于：加拿大、美國、愛爾蘭共和國、英国、法國、比利時、荷蘭、卢森堡、西班牙、葡萄牙、丹麥、挪威、瑞典、芬蘭、俄罗斯、德國、波蘭、愛沙尼亞、立陶宛、拉脫維亞、白俄羅斯、烏克蘭、哈萨克斯坦、蒙古國、中华人民共和国、朝鮮、日本、捷克、奧地利、瑞士、匈牙利、羅馬尼亞、斯洛伐克、斯洛文尼亞、克羅地亞、安道尔、列支敦斯登、圣马力诺、梵蒂岡城國、吉尔吉斯斯坦、塔吉克斯坦、泰國、緬甸、老撾、越南、柬埔寨、孟加拉國、尼泊爾、不丹、印度、阿富汗、土庫曼、摩洛哥、阿爾及利亞、突尼西亞、利比亞、埃及、全北界、南岭、弗朗卡。分布范围覆盖接近7000万平方千米，向北可延伸到北极圈。整个欧洲都有赤狐的足迹，此外还分布于非洲撒哈拉以北地区，除东南亚以外的亚洲，除美国西南部和墨西哥外的北美洲。格陵兰岛、冰岛、北极群岛，西伯利亚最北端和极端沙漠中没有赤狐的活动。新西兰没有赤狐的分布。,穴兔属、水果、啮齿类、鸟类、兔子、松鼠、禽类、爬行动物、无脊椎动物、有蹄类幼兽、植物,活动节律：夜行性。通常成对或以家庭为单位组成小团体。使用尿液标记领地。主要依靠视觉狩猎，偏好在深夜以及日出前的清晨狩猎。,孕期：52±1天（正文记载49-58天）。繁殖期在每年春季。雌赤狐发情期持续两周。一胎通常生下4-6只幼兽，偶尔多达13只。哺乳期持续6-7周。圈养环境中寿命可达15年，野外通常存活5年。,IUCN：无危物种,赤狐是最大和分布最广泛的狐属食肉目成员之一。；尽管名为赤狐，但它也可能发展出其它颜色，包括白化和黑化。；赤狐在捕猎老鼠时，会依据声音定位，然后跃起，在半空中使用尾巴调整方向。,https://zh.wikipedia.org/wiki/%E8%B5%A4%E7%8B%90,zh,success,
鼬獾,Melogale moschata,属：Melogale；种：Melogale moschata,森林，包括原始阔叶林、灌丛区及开垦地。白天躲藏于树洞、土洞或岩洞内休息。,"中国大陆长江以南地区、中南半岛东侧、印度东北部、台湾本岛、爪哇岛和婆罗洲的绿地。台湾特有亚种分布于低、中海拔山区，最高可达2,100米。",喜好捕食蜥蜴、鸟类、小型啮齿类，也食用蜗牛、蚯蚓、大型昆虫等无脊椎动物，有时取食植物果实。,昼伏夜出，行动缓慢，不善跳跃，有爬树能力但不常上树。以嗅觉为主寻找食物，听力与触觉亦佳。受惊吓时分泌恶臭气味驱敌。排遗呈黑色细长螺旋状。可能成为狂犬病宿主。,每年5～6月为生殖高峰期，通常每胎产1～3只幼兽。,IUCN：无危物种,脸部由头顶经后颈至背中央有一白色纵带，额头至眼睛周围有明显的白毛，神似国剧人物之化妆脸谱，故有“花脸狸”之称。；吻端突出似猪鼻，故又有“小豚猫”之称。；鼠蹊部有味道浓厚之臭腺，台语称其为“臭膻猫”。,https://zh.wikipedia.org/wiki/%E9%BC%AC%E7%8D%BE,zh,success,
貉,Nyctereutes procyonoides,属：Nyctereutes；种：Nyctereutes procyonoides,山林、河谷、草原、靠近河流溪谷湖泊的丛林、灌丛群落；城市居民区,朝鲜、中华人民共和国、越南、老挝、俄罗斯、瑞典、芬兰；2016年入侵法国、荷兰、德国和波兰,杂食性，以鱼虾、鼠兔为食；城市貉以厨余垃圾和猫粮为食,昼伏夜出；野生个体适应性强，常利用树漏、石缝或洞穴穴居，有时自行营巢；部分城市个体无法在野外独立生存,孕期约61±2天；每胎数量约6±1只,IUCN：无危物种,貉的消化系统特点介于肉食动物和草食动物之间。；在上海市郊的部分居民区，貉已适应城市生活，主要依靠厨余垃圾和猫粮生存。；为了控制野外族群危害自然生态，瑞典禁止饲养貉并试图全面扑杀野外族群。,https://zh.wikipedia.org/wiki/%E8%B2%89,zh,success,
水獭,Lutrinae,科：Mustelidae；亚科：Lutrinae,半水生环境，包括红树林、河流及海岸。,分布于全球各地。欧亚大陆有红树林水獭，美洲大陆有美洲獭属水獭，北太平洋海岸常见海獭。,主要以鱼类为食，也吃蛙类、淡水虾类、蟹类、贝类和水鸟，有时捕食柠檬。,性格凶猛，遭到猎犬围捕时敢于反抗并咬死猎犬；2011年曾拍摄到在伍德拉夫湖国家野生动物保护区攻击幼年鳄鱼。,,保护现状不一：北美水獭属无危，欧亚水獭和亚洲小爪水獭近危，海獭和巨獭濒危。除附录Ⅰ所有种外，均被列入《濒危野生动植物种国际贸易公约》附录二。欧亚水獭是中国国家一级保护动物。,中国古代志怪小说如《搜神记》、《幽明录》等记载水獭能化成美丽女子魅惑路人或撑伞女子。；日本民间传说中有川獭（水獭）幻化为人报恩的故事，也被认为是河童的变形。；从千年前开始，世界各地渔民会驯养水獭协助捕鱼，但该传统目前已濒临失传。,https://zh.wikipedia.org/wiki/%E6%B0%B4%E7%8D%BA,zh,partial,字段缺失：繁殖
黄鼬,Mustela sibirica,属：Mustela；种：Mustela sibirica,灌叢群落、森林,分布于俄罗斯、蒙古国、中国、尼泊尔、朝鲜、不丹、广东省、南岭、西伯利亚地区至中国大陆、泰国等地，济州岛、库页岛、台湾和欧亚大陆很多地区都有分布。,主要以啮齿类动物（包括但不限于田鼠、松鼠、土拨鼠、飞鼠等）为食，偶尔也吃其他小型哺乳动物、爬行动物、鸟类、无脊椎动物和植物果实，有时甚至会吃鱼。在其分布范围的西部，水䶄是它们最喜欢吃的动物，东部的黄鼬则更多以田鼠、家鼠为食。乌苏里兰的黄鼬在冬季也会吃狼或黄喉貂吃剩下的动物尸体。它们会吃的果实包括松仁和奇异果。,它们会在枯木或树干下挖洞，但也会利用其他动物的现成的巢穴。其巢穴长0.6—4.2米，深0.2—1.3米。成年个体一般有一个常住的巢穴和最多五个临时巢穴，相互间距离达数千米。育儿时，它们会在巢穴的中端或末端另外挖掘一个育儿室，铺垫上鸟羽或鼠毛。有存储多余食物的习性。虽然它偶尔会危害家禽，但中国民间认为黄鼠狼具有灵性，称其为“黄大仙”、“黄仙”。随着人类城市的扩张，它们也开始出现在人类的城市中，有的黄鼬甚至会向人类讨食。,它们在春季发情，交配时长可达35分钟。其妊娠期约38–41天（Wikidata记录为38±3天），但也有仅28天的例子。它们一次产4至10只幼崽（Wikidata记录平均为6.2只），出生时看不见东西，体表毛发稀疏，随后的十天内会长出黄色毛发，一个月后才能睁开眼睛。哺乳期约两个月，秋季就能长到成年体型（但仍有乳牙，毛色也比成年体深），开始独自谋生了。,IUCN：无危物种,黄鼬的皮毛适合制作水彩或油画的画笔（即狼毫），因此很受画家的欢迎。；中国有“黄鼠狼给鸡拜年，没安好心”的民谚，尽管它偶尔会危害家禽。；俄罗斯西伯利亚阿尔泰山脉的丹尼索瓦洞穴出土有黄鼬的化石。,https://zh.wikipedia.org/wiki/%E9%BB%84%E9%BC%AC,zh,success,
东方蝾螈,Hypselotriton orientalis,属：Hypselotriton；种：Hypselotriton orientalis,,中国东部与南部各省份,,经常当作宠物饲养,,,皮肤较黑而光滑，腹部为红色，并带有黑色斑点。；皮下具有毒腺，名为河豚毒素的一种神经毒素，通常在受到威胁时释放。,https://zh.wikipedia.org/wiki/%E6%9D%B1%E6%96%B9%E8%A0%91%E8%9E%88,zh,partial,字段缺失：栖息地、食性、繁殖、保护状态
大麻鳽,Botaurus stellaris,属：Botaurus；种：Botaurus stellaris,通常栖息在芦苇滩（Phragmites）和沼泽，以及被浓密植被环绕的湖泊、潟湖和缓慢流动的河流。繁殖时偏爱至少17.048吋大的大型芦苇滩。在非繁殖季节，也会出现在稻田、水芹田、鱼塘、砾坑、污水处理厂、沟渠、洪泛区。南方亚种分布于东海岸附近的沼泽地、奥卡万戈三角洲和德拉肯斯山脉的山麓地区。,指名亚种（B. s. stellaris）繁殖范围从不列颠群岛、瑞典和芬兰向东延伸至西伯利亚东部库页岛、韩国和日本北海道。南部分布包括地中海、黑海、伊朗、阿富汗、哈萨克斯坦、蒙古和中国。北非摩洛哥、阿尔及利亚和突尼斯有小型留鸟种群。在中国大陆的新疆、内蒙古、黑龙江、吉林、辽宁、河北为夏候鸟，其他多地如山东、山西、甘肃、河南、长江流域至四川、云南、福建、广东、广西、新疆、贵州、台湾为冬候鸟或旅鸟。南方亚种（B. s. capensis）是南部非洲的特有种。,以鱼、小型哺乳动物、两栖动物和无脊椎动物为食。食谱包括鳗鱼、老鼠、田鼠、小鸟和雏鸟、青蛙、蝾螈、螃蟹、虾、软体动物、蜘蛛、昆虫（如甲虫、蜻蜓、蜜蜂、蚱蜢、蠼螋）。偶尔也食用水生植物等植物性食物。,通常是独居且隐秘，喜欢藏匿在芦苇滩和水体附近的浓密植被中。受到惊扰时会竖起喙并冻结不动，利用隐蔽羽毛与芦苇融为一体，这种行为称为 bitterning。有时使用胸部绒羽产生的白色粉末去除捕食鳗鱼后的黏液。主要在黎明和黄昏活跃，飞行较少，偏好步行，步态慎重，能攀爬芦苇。雄鸟发出深沉如牛鸣般的求偶叫声，通过压缩食道内的空气发出。,雄鸟是多配偶的，可与多达五只雌鸟交配。巢筑在前一年站立的芦苇中，由雌鸟搭建约30厘米宽的凌乱平台。每窝产4到6枚橄榄褐色带斑点的蛋，孵化期约26天。雏鸟孵化后在巢中待约两周离巢并在芦苇中游泳，由雌鸟单独喂养（反刍食物），约八周后完全羽化。,IUCN：无危物种,大麻𫛚的鸣叫声低沉如牛吼，从5千米外清晰可闻，其发声机制是通过强大的肌肉压缩食道内的空气，而非早期理论认为的对着稻草叫或吹入水中。；大麻𫛚拥有专门的绒羽，能产生白色粉末，帮助它在捕食黏滑的鳗鱼后去除头部和颈部的黏液。；大麻𫛚的名字 'stellaris' 意为“星形”，指的是其羽毛上类似星星的斑点图案。,https://zh.wikipedia.org/wiki/%E5%A4%A7%E9%BA%BB%E9%B3%BD,zh,success,
苍鹭,Ardea cinerea,属：Ardea；种：Ardea cinerea,沼泽边、湿地、湖的树上、芦苇丛,非洲、欧亚大陆（包括中国全境、西伯利亚、日本北海道、韩国海外离岛）、朝鲜、菲律宾及巽他群岛。部分个体全年滞留于中亚、日本、朝鲜半岛或台湾北部。,主要捕食鱼类、两栖动物和昆虫，也吃小型哺乳动物和鸟。在浅水区觅食。,性格孤僻，严冬时节常独立寒风中的沼泽边。终生一夫一妻制。,集体于邻近湿地或湖的树上筑巢，亦会于芦苇丛上筑巢。每胎数量3.9只，孵化期27天。一般可活20~30年以上。,IUCN：无危物种,目前经由系放得知的苍鹭年龄是18.49年。；苍鹭体长84－102厘米，翼展155－195厘米，体重1.02－2.08公斤。,https://zh.wikipedia.org/wiki/%E8%8B%8D%E9%B9%AD,zh,success,
豪猪,,动物界 > 脊索动物门 > 哺乳纲 > 啮齿目,森林、沙漠及草原；部分栖息在树上，其他生活在地面,亚洲、意大利、非洲、北美洲及南美洲的热带及温带地区,植物、活动物的骨头、树皮、土壤、有尿液的物件、含有硝酸钠的胶合板、人类栖息地中的盐分（如油漆、手工具、鞋、衣服等含汗液或盐渍物）,行动缓慢；用尖刺防御掠食者；刺易脱落并带有倒钩，会随肌肉运动深入攻击者体内；被古代人误认为可以掷出刺攻击敌人；会被道路上融雪的岩盐吸引到路上，并啃咬轮胎,,,豪猪是啮齿目中体型第三大的动物，仅次于水豚及河狸。；豪猪刺上的倒钩在正常肌肉运动下，每日可令刺深入攻击者组织约几毫米。；在非洲及阿拉伯的一些地区，豪猪可作为丛林肉食用，其肉在意大利及越南部分地区也很受欢迎。,https://zh.wikipedia.org/wiki/%E8%B1%AA%E8%B1%AC,zh,partial,字段缺失：学名、繁殖、保护状态
黑眉锦蛇,Orthriophis taeniurus,属：Orthriophis；种：Orthriophis taeniurus,一般生活于平原丘陵及山区以及常栖居于房屋及其附近。生存的海拔上限为3000米。,分布于朝鲜、越南、老挝、缅甸、印度、台湾以及中国等地。模式产地在浙江宁波、泰国。,以老鼠、小型鸟类、蛋为主食。,活动节律：晝夜不定時性。日行性蛇类，但在夜晚也会出来活动。无毒，性情温和。,,2023年被收录入《有重要生态、科学、社会价值的陆生野生动物名录》,全身布满黄色和黑色的花纹，头部有一道明显的黑色过眼线，类似黑色的眉毛，因此被称作“黑眉曙蛇”。；该物种共有9种亚种，包括泰北亚种、台湾亚种等。,https://zh.wikipedia.org/wiki/%E9%BB%91%E7%9C%89%E9%8C%A6%E8%9B%87,zh,partial,字段缺失：繁殖
细尾獴,Suricata suricatta,属：Suricata；种：Suricata suricatta,卡拉哈里沙漠,南非、纳米比亚及安哥拉西南部,主要饮食以昆虫为食，也捕食蜘蛛、蜈蚣、马陆、蜥蜴、蛇、蛙类、蝎子等小型生物，并摄取植物、卵及小型哺乳动物。对许多毒素免疫。,昼行性群居动物，擅挖洞居住于网状洞穴。具有严格阶级制度和社会化行为（如理毛、哨兵警戒）。哨兵发现掠食者会发出警示，成员躲入洞内。幼兽由群体共同抚养和保护。,约一年达到性成熟，孕期约11周，每胎平均3只，野生状态下一年可生三胎。母系社会，仅首领雌狐獴及其选中配偶有权繁殖。,IUCN：无危物种,狐獴腹部有稀疏毛发露出黑色皮肤，晨间站立时利用该区域吸收太阳热量以保暖。；狐獴眼睛周围有黑色斑块，作用类似太阳眼镜，使其能直视太阳而清晰视物，有助于发现空中掠食者。；狐獴演化为对许多毒素免疫，能够捕食蝎子和某些毒蛇而不中毒。,https://zh.wikipedia.org/wiki/%E7%8B%90%E7%8D%B4,zh,success,
狼,Canis lupus,属：Canis；种：Canis lupus,主要栖息在荒野或偏远地区，包括森林、沙漠、山地、寒带草原、西伯利亚针叶林、草地。适应各种类型的地面，特别是雪地。,曾是地球上分布最广的哺乳动物，分布于北美和欧亚大陆。目前主要分布于亚洲、欧洲、北美和中东（主要是北半球的温带区域）。具体包括加拿大、俄罗斯、芬兰、哈萨克斯坦、蒙古国、阿富汗、巴基斯坦、格陵兰、美国、西班牙、爱沙尼亚、白俄罗斯、拉脱维亚、也门、沙特阿拉伯、意大利、法国、德国、波兰、比利时、荷兰、瑞士等。在西欧、墨西哥与美国大部分地区已然绝迹。,中到大型有蹄类动物（如驼鹿、美洲野牛、驯鹿、鹿科、野猪、欧洲盘羊、臆羚属、高地山羊、西方狍、欧洲马鹿、加拿大马鹿、麝牛、羊、牛）、穴兔、欧洲野兔、旅鼠族、田鼠亚科、河狸科、鮭魚、鱼、鳥綱。也吃腐肉、浆果、苹果、梨、葡萄、草、食物浪费。在食物稀缺时也会吃蜥蜴、蛇、蛙类、昆虫、小型啮齿动物、水鸟及其蛋。,具有高度的领域性，通过气味记号、直接攻击和狼嚎来划分和防卫其领域。是典型的食物链上层掠食者，社会性猎食动物，以群居形式组成，包括一对配偶、及其子女，有时也包括收养的未成年幼狼。活动节律为昼夜不定时性。狼群会合作以及策略性猎捕猎物，单只狼或成对狼群比大狼群猎捕成功率较高。,倾向单一配偶，成偶的狼只要配偶还在，绝大多数会终生相伴。雌狼每年都可以繁殖，通常每年一胎。怀孕为期62-75天（Wikidata数据为62±1天），幼狼通常在夏季出生，每胎平均5-6只（Wikidata数据为6只）。幼狼在3-4周时开始吃固体食物，出生后前四个月发育最快，体重增加30倍。,IUCN：无危物种,狼的咬合压力高达1500 psi，而德国牧羊犬仅有750psi，这种力道足以咬碎多数的骨头。；狼的听觉非常灵敏，可以听到频率高达26kHz的声音，比狐狸好，甚至可以察觉秋天落叶的声音。；狼脚掌上的毛和略钝的爪帮助它们抓住湿滑的地面，特殊的血管保护狼的脚掌不会在雪地中冻伤。,https://zh.wikipedia.org/wiki/%E7%8B%BC,zh,success,
薮猫,Leptailurus serval,属：Leptailurus；种：Leptailurus serval,非洲大草原，有时出现在山地,非洲，西非和东非数量较多，南非和撒哈拉沙漠以北稀少,主要是啮齿类动物，也捕食野兔、蹄兔、鸟类、爬行类、昆虫、鱼、蛙及小羚羊,会爬树和游泳但很少这么做；行动以垂直奔跳为主；通过大耳朵聆听猎物；进食速度快；捕猎成功率超过50%；可被驯养为宠物,孕期74±1天；每胎产1-5仔，以2-3仔为主；利用土豚洞穴或灌木地下空地产仔,IUCN：无危物种,薮猫的捕猎效率很高，成功率超过50%，而一般猫科动物只有10%左右。；雄性薮猫与家猫杂交可培育出萨凡纳猫这一新的宠物猫品种。；在意大利，薮猫是托马西家族的象征动物。,https://zh.wikipedia.org/wiki/%E8%97%AA%E8%B2%93,zh,success,
狞猫,Caracal caracal,属：Caracal；种：Caracal caracal,干草原、半沙漠地带、林地、热带稀树大草原和灌木林,非洲、西亚，美国有人驯养,啮齿目、野兔、瞪羚、珠鸡、小型羚羊、年幼的鸵鸟、蹄兔目、小鸟、腐肉、家山羊、母鸡等家禽,独居或成对的领域性动物，夜间活动（较冷季节也日间），擅长跳跃和攀爬以捕捉飞行中的鸟类，隐藏极好，可长时间不喝水,孕期70±1天，每窝产子1-4只,IUCN：无危物种,狞猫可以抓到飞行中的鸟类，有时一次可抓超过两只。；狞猫的耳朵由20条不同的肌肉来控制，以帮助它寻找猎物。；在野外几乎看不到狞猫，不是因为它们非常地稀少，而是因为它们隐藏得非常好。,https://zh.wikipedia.org/wiki/%E7%8D%B0%E8%B2%93,zh,success,
美洲豹,Panthera onca,属：Panthera；种：Panthera onca,中南美洲的雨林、爆发季节性洪水的开阔湿地和干草原。偏爱茂密的森林、河流、沼泽旁边或浓密的雨林中，也见于灌木丛林地区和沙漠。有人曾在海拔3800米的高度发现过美洲豹，但它们通常不会栖居在高山、墨西哥中部的高原或安第斯山脉中。,"分布于巴西、哥伦比亚、伯利兹、哥斯达黎加、厄瓜多尔、危地马拉、洪都拉斯、墨西哥、巴拿马、秘鲁、委内瑞拉、阿根廷、玻利维亚、法属圭亚那、圭亚那、尼加拉瓜、乌拉圭、苏里南和美国。该物种目前已在萨尔瓦多和乌拉圭绝迹。历史上分布范围曾涵盖美国南部半数区域及南美大陆大部分地区，北部栖息地向南后撤了1,000 km，南部栖息地向北后撤了2,000 km。",水豚、大食蚁兽、沼泽鹿、小食蚁兽、领西貒、炭黑刺豚鼠、黄腿象龟、凯门鳄亚科、南美貘、刺豚鼠属、美洲鬣蜥属、九带犰狳、绿蠵龟、腐肉、鱼、南美浣熊属、家山羊、牛、家驴、鸡、低地兔豚鼠、水蚺属、长尾豚鼠、食人鲳、托哥巨嘴鸟、棕胸冠雉、眼斑吐绶鸡、肉垂凤冠雉、虎猫、吼猴属、树懒亚目、大白鹭、长尾刺豚鼠属、卵、鲇形目、黑家鼠、白尾鹿、䳍科、蛙类、小型啮齿目及豪猪、鸟（主要是凤冠雉科）、龟、家畜、美洲黑熊、眼镜熊。,成年美洲豹属于顶级掠食者和基石物种，处于食物链顶端，不会沦为猎物（偶尔与黑凯门鳄或森蚺发生冲突）。它们是尾随伏击猎物的机会型捕食者，不追捕猎物。酷爱游泳，大多数时候喜欢独居。通过抓痕、尿液和粪便标记领地。是夜行性动物，但在晨昏时最为活跃，约有50%到60%的时间都处于活跃状态。会咆哮、喵喵叫或咕噜噜叫。极少袭击人类，但有吃腐肉的习性。,雌性约两周岁性成熟，雄性三至四岁性成熟。野外全年均可交配，分娩次数可能在猎物充沛时增加。妊娠期93至105天；每胎最多产四只幼崽，最普遍的情况是产两只。幼兽初生时看不见，两周后看清事物。三个月后断奶，在巢里待六个月陪母亲狩猎，再在母亲身旁一到两年后离开建领地。野生寿命一般12到15年，圈养最长23年。,IUCN：近危物种,美洲豹拥有所有大型猫科动物中最短的尾巴（45至75厘米），但咬力在所有猫科动物中排第三，仅次于虎和狮，能直接咬穿猎物双耳间的颅骨给脑部致命一咬，也能洞穿爬行动物的壳。；美洲豹是北美洲本土唯一会咆哮的猫科动物，其拉丁名“onca”源自葡萄牙语“onça”，意为豹。；美洲豹的黑化症（通体黑色但仍可见斑纹）在南美洲部分地区较常见，约占该物种的百分之六，而在北美亚热带和温带地区几乎未见。,https://zh.wikipedia.org/wiki/%E7%BE%8E%E6%B4%B2%E8%B1%B9,zh,success,
猞猁,Lynx lynx,属：Lynx；种：Lynx lynx,森林、灌丛群落，从亚寒带针叶林、寒温带针阔混交林至高寒草甸、高寒草原、高寒灌丛草原及高寒荒漠与半荒漠。栖居于岩洞、石缝之中，生活在森林灌丛地带，密林及山岩上较常见。,分布于朝鲜民主主义人民共和国、大韩民国、俄罗斯、中华人民共和国、蒙古国、尼泊尔、不丹、阿富汗、巴基斯坦、法国、德国、波兰、芬兰、瑞典、挪威、爱沙尼亚等欧亚大陆温带和亚寒带地区。,主要食物是雪兔等各种野兔，每天消耗1-2.5千克肉。此外还猎食松鼠、野鼠、旅鼠、旱獭、雷鸟、鹌鹑、雉类等鸟类，以及麝、狍子、鹿的幼崽、猪崽、小羊等家畜。有时也捕食穴兔、欧洲野兔、赤狐、西方狍、松鸡、长尾姬鼠、麝鼠、臆羚、旱獭属、欧洲马鹿、驯鹿、羊属、鼠兔属、羱羊、原麝、环颈雉、黇鹿、腐肉、牛、驼鹿、松貂、貉、野鼠类、欧洲鼹鼠、小家鼠、红腿石鸡、野猪、绿头鸭、河狸属、欧洲野猫等。,喜寒动物，离群独居，无固定窝巢的夜间猎手。晨昏活动频繁，擅于攀爬及游泳，耐饥性强。遇到危险时会迅速逃到树上躲蔽，或躺倒在地装死。狼、虎、豹、雪豹、熊等大型猛兽是其天敌。在捕捉猎物时善于利用掩体埋伏，忍耐性极好，若扑空不会穷追。中国大兴安岭的猞猁会将吃剩的肉埋在积雪下“冷藏”。,孕期70±3天，每胎数量2只。,IUCN：无危物种,中国大兴安岭的猞猁在冬季捕获猎物后，会将吃剩的肉埋在积雪下“冷藏”，待饥饿时取食。；在狩猎区，猞猁每年可以杀死当地10%到40%的野兔种群，其种群数量大致每间隔9-10年随着野兔数量出现一个高峰。；猞猁耳尖具黑色耸立簇毛，长达4-5厘米，其中夹杂着几根白毛，很象戏剧中武将头盔上的翎子。,https://zh.wikipedia.org/wiki/%E7%8C%9E%E7%8C%81,zh,success,
